Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,2,2-tetrachloroethane",55,0.17426212,LDPE
"1,1,2,2-tetrachloroethane",50,0.11764194,LDPE
"1,1,2,2-tetrachloroethane",45,0.07850067,LDPE
"1,1,2,2-tetrachloroethane",40,0.05173634,LDPE
"1,1,2,2-tetrachloroethane",35,0.03365066,LDPE
"1,1,2,2-tetrachloroethane",30,0.02158391,LDPE
"1,1,2,2-tetrachloroethane",25,0.01364149,LDPE
"1,1,2-trichloroethane",160,99.98712008,LDPE
"1,1,2-trichloroethane",155,99.98324508,LDPE
"1,1,2-trichloroethane",150,99.9781688,LDPE
"1,1,2-trichloroethane",145,99.97151443,LDPE
"1,1,2-trichloroethane",140,93.87590454,LDPE
"1,1,2-trichloroethane",135,72.63896545,LDPE
"1,1,2-trichloroethane",130,52.03775556,LDPE
"1,1,2-trichloroethane",125,34.55531197,LDPE
"1,1,2-trichloroethane",120,22.39861786,LDPE
"1,1,2-trichloroethane",115,14.82121757,LDPE
"1,1,2-trichloroethane",110,10.07772612,LDPE
"1,1,2-trichloroethane",105,6.99116042,LDPE
"1,1,2-trichloroethane",100,4.91044261,LDPE
"1,1,2-trichloroethane",95,3.47165339,LDPE
"1,1,2-trichloroethane",90,2.46003827,LDPE
"1,1,2-trichloroethane",85,1.74165223,LDPE
"1,1,2-trichloroethane",80,1.22899561,LDPE
"1,1,2-trichloroethane",75,0.86275023,LDPE
"1,1,2-trichloroethane",70,0.60158675,LDPE
"1,1,2-trichloroethane",65,0.4161327,LDPE
"1,1,2-trichloroethane",60,0.28523589,LDPE
"1,1,2-trichloroethane",55,0.19354779,LDPE
"1,1,2-trichloroethane",50,0.12989555,LDPE
"1,1,2-trichloroethane",45,0.08615035,LDPE
"1,1,2-trichloroethane",40,0.05641904,LDPE
"1,1,2-trichloroethane",35,0.03645486,LDPE
"1,1,2-trichloroethane",30,0.02322206,LDPE
"1,1,2-trichloroethane",25,0.0145717,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",160,99.98876932,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",155,99.98689978,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",150,99.98470868,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",145,99.98213909,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",140,91.73769633,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",135,67.57703548,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",130,49.11936771,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",125,35.33181037,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",120,25.29383934,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",115,18.11852824,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",110,13.02368249,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",105,9.39756933,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",100,6.79958842,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",95,4.92479893,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",90,3.56398192,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",85,2.57262469,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",80,1.84943774,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",75,1.32231343,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",70,0.93916296,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",65,0.66190661,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",60,0.4624722,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",55,0.32005629,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",50,0.21921117,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",45,0.14847558,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",40,0.09937417,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",35,0.06567369,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",30,0.04282327,LDPE
"1,1,2-trichloro-1,2,2-trifluoroethane",25,0.0275298,LDPE
"1,1,3,3-tetramethoxypropane",160,99.94429468,LDPE
"1,1,3,3-tetramethoxypropane",155,99.93088226,LDPE
"1,1,3,3-tetramethoxypropane",150,99.91420536,LDPE
"1,1,3,3-tetramethoxypropane",145,99.89347603,LDPE
"1,1,3,3-tetramethoxypropane",140,92.34822711,LDPE
"1,1,3,3-tetramethoxypropane",135,65.25968966,LDPE
"1,1,3,3-tetramethoxypropane",130,42.74450442,LDPE
"1,1,3,3-tetramethoxypropane",125,28.30156743,LDPE
"1,1,3,3-tetramethoxypropane",120,19.41851983,LDPE
"1,1,3,3-tetramethoxypropane",115,13.68373801,LDPE
"1,1,3,3-tetramethoxypropane",110,9.80186627,LDPE
"1,1,3,3-tetramethoxypropane",105,7.08575481,LDPE
"1,1,3,3-tetramethoxypropane",100,5.14401822,LDPE
"1,1,3,3-tetramethoxypropane",95,3.73730117,LDPE
"1,1,3,3-tetramethoxypropane",90,2.71056446,LDPE
"1,1,3,3-tetramethoxypropane",85,1.95871776,LDPE
"1,1,3,3-tetramethoxypropane",80,1.40810136,LDPE
"1,1,3,3-tetramethoxypropane",75,1.00578499,LDPE
"1,1,3,3-tetramethoxypropane",70,0.71306138,LDPE
"1,1,3,3-tetramethoxypropane",65,0.50130222,LDPE
"1,1,3,3-tetramethoxypropane",60,0.34919226,LDPE
"1,1,3,3-tetramethoxypropane",55,0.24081926,LDPE
"1,1,3,3-tetramethoxypropane",50,0.16431109,LDPE
"1,1,3,3-tetramethoxypropane",45,0.11083819,LDPE
"1,1,3,3-tetramethoxypropane",40,0.07386873,LDPE
"1,1,3,3-tetramethoxypropane",35,0.048605,LDPE
"1,1,3,3-tetramethoxypropane",30,0.03155334,LDPE
"1,1,3,3-tetramethoxypropane",25,0.02019476,LDPE
"1,1-dibromoethane",160,99.99961925,LDPE
"1,1-dibromoethane",155,99.99941338,LDPE
"1,1-dibromoethane",150,99.99908468,LDPE
"1,1-dibromoethane",145,99.99855612,LDPE
"1,1-dibromoethane",140,91.57263742,LDPE
"1,1-dibromoethane",135,64.83803621,LDPE
"1,1-dibromoethane",130,41.2779013,LDPE
"1,1-dibromoethane",125,22.82501032,LDPE
"1,1-dibromoethane",120,12.56087811,LDPE
"1,1-dibromoethane",115,7.59845854,LDPE
"1,1-dibromoethane",110,4.91860794,LDPE
"1,1-dibromoethane",105,3.30783448,LDPE
"1,1-dibromoethane",100,2.27200108,LDPE
"1,1-dibromoethane",95,1.57789703,LDPE
"1,1-dibromoethane",90,1.10106049,LDPE
"1,1-dibromoethane",85,0.76869022,LDPE
"1,1-dibromoethane",80,0.53527425,LDPE
"1,1-dibromoethane",75,0.37092847,LDPE
"1,1-dibromoethane",70,0.25533664,LDPE
"1,1-dibromoethane",65,0.17434556,LDPE
"1,1-dibromoethane",60,0.11793645,LDPE
"1,1-dibromoethane",55,0.07895111,LDPE
"1,1-dibromoethane",50,0.05225427,LDPE
"1,1-dibromoethane",45,0.03416249,LDPE
