Solvent,Temperature (°C),Solubility (%)
"1,1,2-trichloro-1,2,2-trifluoroethane",65,0.00211590
"1,1,2-trichloro-1,2,2-trifluoroethane",60,0.00135686
"1,1,2-trichloro-1,2,2-trifluoroethane",55,0.00085775
"1,1,2-trichloro-1,2,2-trifluoroethane",50,0.00053416
"1,1,2-trichloro-1,2,2-trifluoroethane",45,0.00032746
"1,1,2-trichloro-1,2,2-trifluoroethane",40,0.00019746
"1,1,2-trichloro-1,2,2-trifluoroethane",35,0.00011702
"1,1,2-trichloro-1,2,2-trifluoroethane",30,0.00006810
"1,1,2-trichloro-1,2,2-trifluoroethane",25,0.00003888
"1,1,3,3-tetramethoxypropane",160,25.02711770
"1,1,3,3-tetramethoxypropane",155,22.29169999
"1,1,3,3-tetramethoxypropane",150,19.69106693
"1,1,3,3-tetramethoxypropane",145,17.24262041
"1,1,3,3-tetramethoxypropane",140,14.96185719
"1,1,3,3-tetramethoxypropane",135,12.86124227
"1,1,3,3-tetramethoxypropane",130,10.94940444
"1,1,3,3-tetramethoxypropane",125,9.23076712
"1,1,3,3-tetramethoxypropane",120,7.70535326
"1,1,3,3-tetramethoxypropane",115,6.36879123
"1,1,3,3-tetramethoxypropane",110,5.21265990
"1,1,3,3-tetramethoxypropane",105,4.22524818
"1,1,3,3-tetramethoxypropane",100,3.39235084
"1,1,3,3-tetramethoxypropane",95,2.69822073
"1,1,3,3-tetramethoxypropane",90,2.12643116
"1,1,3,3-tetramethoxypropane",85,1.66066273
"1,1,3,3-tetramethoxypropane",80,1.28532277
"1,1,3,3-tetramethoxypropane",75,0.98597950
"1,1,3,3-tetramethoxypropane",70,0.74963737
"1,1,3,3-tetramethoxypropane",65,0.56486117
"1,1,3,3-tetramethoxypropane",60,0.42178904
"1,1,3,3-tetramethoxypropane",55,0.31206465
"1,1,3,3-tetramethoxypropane",50,0.22871766
"1,1,3,3-tetramethoxypropane",45,0.16601560
"1,1,3,3-tetramethoxypropane",40,0.11930530
"1,1,3,3-tetramethoxypropane",35,0.08485541
"1,1,3,3-tetramethoxypropane",30,0.05970849
"1,1,3,3-tetramethoxypropane",25,0.04154684
"1,1-dibromoethane",160,35.49113827
"1,1-dibromoethane",155,33.43412148
"1,1-dibromoethane",150,31.42194084
"1,1-dibromoethane",145,29.45601916
"1,1-dibromoethane",140,27.53728604
"1,1-dibromoethane",135,25.66930763
"1,1-dibromoethane",130,23.85129265
"1,1-dibromoethane",125,22.08577448
"1,1-dibromoethane",120,20.37395410
"1,1-dibromoethane",115,18.71908424
"1,1-dibromoethane",110,17.12048162
"1,1-dibromoethane",105,15.58221698
"1,1-dibromoethane",100,14.10552584
"1,1-dibromoethane",95,12.69268451
"1,1-dibromoethane",90,11.34647163
"1,1-dibromoethane",85,10.06965215
"1,1-dibromoethane",80,8.86554031
"1,1-dibromoethane",75,7.73613753
"1,1-dibromoethane",70,6.68542293
"1,1-dibromoethane",65,5.71598267
"1,1-dibromoethane",60,4.83062705
"1,1-dibromoethane",55,4.03129954
"1,1-dibromoethane",50,3.31912311
"1,1-dibromoethane",45,2.69398148
"1,1-dibromoethane",40,2.15416600
"1,1-dibromoethane",35,1.69621628
"1,1-dibromoethane",30,1.31495715
"1,1-dibromoethane",25,1.00361031
"1,1-dichloro-1-nitroethane",160,34.05220411
"1,1-dichloro-1-nitroethane",155,31.27561003
"1,1-dichloro-1-nitroethane",150,28.53763688
"1,1-dichloro-1-nitroethane",145,25.85297808
"1,1-dichloro-1-nitroethane",140,23.23686815
"1,1-dichloro-1-nitroethane",135,20.70513783
"1,1-dichloro-1-nitroethane",130,18.27570108
"1,1-dichloro-1-nitroethane",125,15.96657930
"1,1-dichloro-1-nitroethane",120,13.79508145
"1,1-dichloro-1-nitroethane",115,11.77830976
"1,1-dichloro-1-nitroethane",110,9.93069285
"1,1-dichloro-1-nitroethane",105,8.26327082
"1,1-dichloro-1-nitroethane",100,6.78295249
"1,1-dichloro-1-nitroethane",95,5.49117273
"1,1-dichloro-1-nitroethane",90,4.38387953
"1,1-dichloro-1-nitroethane",85,3.45180297
"1,1-dichloro-1-nitroethane",80,2.68119194
"1,1-dichloro-1-nitroethane",75,2.05514563
"1,1-dichloro-1-nitroethane",70,1.55505357
"1,1-dichloro-1-nitroethane",65,1.16193469
"1,1-dichloro-1-nitroethane",60,0.85757399
"1,1-dichloro-1-nitroethane",55,0.62531264
"1,1-dichloro-1-nitroethane",50,0.45050040
"1,1-dichloro-1-nitroethane",45,0.32066718
"1,1-dichloro-1-nitroethane",40,0.22548446
"1,1-dichloro-1-nitroethane",35,0.15659490
"1,1-dichloro-1-nitroethane",30,0.10737203
"1,1-dichloro-1-nitroethane",25,0.07265608
"1,1-dichloroacetone",160,34.57594325
"1,1-dichloroacetone",155,31.43341820
"1,1-dichloroacetone",150,28.31762495
"1,1-dichloroacetone",145,25.25437655
"1,1-dichloroacetone",140,22.27230324
"1,1-dichloroacetone",135,19.40431445
"1,1-dichloroacetone",130,16.68409220
"1,1-dichloroacetone",125,14.14463548
"1,1-dichloroacetone",120,11.81610213
"1,1-dichloroacetone",115,9.72198230
"1,1-dichloroacetone",110,7.87702737
"1,1-dichloroacetone",105,6.28565070
"1,1-dichloroacetone",100,4.94164800
"1,1-dichloroacetone",95,3.82960554
