Solvent,Temperature (°C),Solubility (%)
"1,1-dibromoethane",70,0.01732615
"1,1-dibromoethane",65,0.01213225
"1,1-dibromoethane",60,0.00841373
"1,1-dibromoethane",55,0.00577683
"1,1-dibromoethane",50,0.00392540
"1,1-dibromoethane",45,0.00263879
"1,1-dibromoethane",40,0.00175419
"1,1-dibromoethane",35,0.00115272
"1,1-dibromoethane",30,0.00074844
"1,1-dibromoethane",25,0.00047993
"1,1-dichloro-1-nitroethane",160,6.35568140
"1,1-dichloro-1-nitroethane",155,5.20539672
"1,1-dichloro-1-nitroethane",150,4.22363332
"1,1-dichloro-1-nitroethane",145,3.39543468
"1,1-dichloro-1-nitroethane",140,2.70472929
"1,1-dichloro-1-nitroethane",135,2.13507573
"1,1-dichloro-1-nitroethane",130,1.67030402
"1,1-dichloro-1-nitroethane",125,1.29505318
"1,1-dichloro-1-nitroethane",120,0.99514645
"1,1-dichloro-1-nitroethane",115,0.75782499
"1,1-dichloro-1-nitroethane",110,0.57185373
"1,1-dichloro-1-nitroethane",105,0.42752618
"1,1-dichloro-1-nitroethane",100,0.31659667
"1,1-dichloro-1-nitroethane",95,0.23216527
"1,1-dichloro-1-nitroethane",90,0.16853699
"1,1-dichloro-1-nitroethane",85,0.12107081
"1,1-dichloro-1-nitroethane",80,0.08602992
"1,1-dichloro-1-nitroethane",75,0.06044024
"1,1-dichloro-1-nitroethane",70,0.04196160
"1,1-dichloro-1-nitroethane",65,0.02877346
"1,1-dichloro-1-nitroethane",60,0.01947571
"1,1-dichloro-1-nitroethane",55,0.01300426
"1,1-dichloro-1-nitroethane",50,0.00856013
"1,1-dichloro-1-nitroethane",45,0.00555099
"1,1-dichloro-1-nitroethane",40,0.00354348
"1,1-dichloro-1-nitroethane",35,0.00222492
"1,1-dichloro-1-nitroethane",30,0.00137295
"1,1-dichloro-1-nitroethane",25,0.00083188
"1,1-dichloroacetone",160,7.77961487
"1,1-dichloroacetone",155,6.47033346
"1,1-dichloroacetone",150,5.33692730
"1,1-dichloroacetone",145,4.36610622
"1,1-dichloroacetone",140,3.54314566
"1,1-dichloroacetone",135,2.85256980
"1,1-dichloroacetone",130,2.27874994
"1,1-dichloroacetone",125,1.80644955
"1,1-dichloroacetone",120,1.42125238
"1,1-dichloroacetone",115,1.10985796
"1,1-dichloroacetone",110,0.86027138
"1,1-dichloroacetone",105,0.66188330
"1,1-dichloroacetone",100,0.50547062
"1,1-dichloroacetone",95,0.38313738
"1,1-dichloroacetone",90,0.28821622
"1,1-dichloroacetone",85,0.21514687
"1,1-dichloroacetone",80,0.15934532
"1,1-dichloroacetone",75,0.11707236
"1,1-dichloroacetone",70,0.08530854
"1,1-dichloroacetone",65,0.06163904
"1,1-dichloroacetone",60,0.04415065
"1,1-dichloroacetone",55,0.03134151
"1,1-dichloroacetone",50,0.02204343
"1,1-dichloroacetone",45,0.01535612
"1,1-dichloroacetone",40,0.01059216
"1,1-dichloroacetone",35,0.00723166
"1,1-dichloroacetone",30,0.00488519
"1,1-dichloroacetone",25,0.00326397
"1,1-dichloroethane",160,13.13535543
"1,1-dichloroethane",155,11.24174838
"1,1-dichloroethane",150,9.53106977
"1,1-dichloroethane",145,8.00318987
"1,1-dichloroethane",140,6.65477832
"1,1-dichloroethane",135,5.47935845
"1,1-dichloroethane",130,4.46749808
"1,1-dichloroethane",125,3.60726208
"1,1-dichloroethane",120,2.88492578
"1,1-dichloroethane",115,2.28566492
"1,1-dichloroethane",110,1.79429788
