Solvent,Temperature (°C),Solubility (%),Polymer
"1,1,2-trichloroethane",120,32.21096304,PS
"1,1,2-trichloroethane",115,29.04754915,PS
"1,1,2-trichloroethane",110,25.97243936,PS
"1,1,2-trichloroethane",105,23.01325811,PS
"1,1,2-trichloroethane",100,20.19780594,PS
"1,1,2-trichloroethane",95,17.55219581,PS
"1,1,2-trichloroethane",90,15.09933705,PS
"1,1,2-trichloroethane",85,12.857019,PS
"1,1,2-trichloroethane",80,10.83663365,PS
"1,1,2-trichloroethane",75,9.04241459,PS
"1,1,2-trichloroethane",70,7.47154669,PS
"1,1,2-trichloroethane",65,6.11493713,PS
"1,1,2-trichloroethane",60,4.95851818,PS
"1,1,2-trichloroethane",55,3.98476839,PS
"1,1,2-trichloroethane",50,3.17422705,PS
"1,1,2-trichloroethane",45,2.5068138,PS
"1,1,2-trichloroethane",40,1.96286512,PS
"1,1,2-trichloroethane",35,1.52386665,PS
"1,1,2-trichloroethane",30,1.17291046,PS
"1,1,2-trichloroethane",25,0.89492878,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",160,35.13658811,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",155,29.14134144,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",150,23.27553237,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",145,18.01915435,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",140,13.73084645,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",135,10.44399834,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",130,7.98319798,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",125,6.1408254,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",120,4.74885226,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",115,3.68591177,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",110,2.86657895,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",105,2.23042225,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",100,1.73394475,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",95,1.34527624,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",90,1.04058283,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",85,0.80175654,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",80,0.6148365,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",75,0.46892811,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",70,0.35545382,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",65,0.26761294,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",60,0.19998918,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",55,0.14825749,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",50,0.10896252,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",45,0.07934663,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",40,0.05721495,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",35,0.04082767,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",30,0.02881322,PS
"1,1,2-trichloro-1,2,2-trifluoroethane",25,0.02009739,PS
"1,1,3,3-tetramethoxypropane",160,51.57403471,PS
"1,1,3,3-tetramethoxypropane",155,48.2838,PS
"1,1,3,3-tetramethoxypropane",150,45.01074076,PS
"1,1,3,3-tetramethoxypropane",145,41.76922287,PS
"1,1,3,3-tetramethoxypropane",140,38.57478386,PS
"1,1,3,3-tetramethoxypropane",135,35.44318785,PS
"1,1,3,3-tetramethoxypropane",130,32.39068286,PS
"1,1,3,3-tetramethoxypropane",125,29.43352459,PS
"1,1,3,3-tetramethoxypropane",120,26.58764536,PS
"1,1,3,3-tetramethoxypropane",115,23.86791839,PS
"1,1,3,3-tetramethoxypropane",110,21.28819123,PS
"1,1,3,3-tetramethoxypropane",105,18.86043831,PS
"1,1,3,3-tetramethoxypropane",100,16.59441779,PS
"1,1,3,3-tetramethoxypropane",95,14.49746753,PS
"1,1,3,3-tetramethoxypropane",90,12.57398864,PS
"1,1,3,3-tetramethoxypropane",85,10.82552873,PS
"1,1,3,3-tetramethoxypropane",80,9.25072612,PS
"1,1,3,3-tetramethoxypropane",75,7.84546819,PS
"1,1,3,3-tetramethoxypropane",70,6.60314144,PS
"1,1,3,3-tetramethoxypropane",65,5.5150601,PS
"1,1,3,3-tetramethoxypropane",60,4.57087133,PS
"1,1,3,3-tetramethoxypropane",55,3.75904661,PS
"1,1,3,3-tetramethoxypropane",50,3.06735338,PS
"1,1,3,3-tetramethoxypropane",45,2.48330118,PS
"1,1,3,3-tetramethoxypropane",40,1.99451429,PS
"1,1,3,3-tetramethoxypropane",35,1.58905696,PS
"1,1,3,3-tetramethoxypropane",30,1.2556719,PS
"1,1,3,3-tetramethoxypropane",25,0.98395019,PS
"1,1-dibromoethane",160,52.45278188,PS
"1,1-dibromoethane",155,49.63912661,PS
