polymer,solvent,n_points,n_dropped_100,t_min_c,t_max_c,mk_A,mk_B,mk_C,mk_r2,mk_rmse_lns,mk_mae_pct,mk_rmse_pct,mk_max_err_pct,mk_category,apel_A,apel_B,apel_C,apel_r2,apel_rmse_lns,apel_mae_pct,apel_rmse_pct,apel_max_err_pct,apel_category,delta_r2,winner
Nylon66,butanone,28,0,25.0,160.0,14.986563096442088,-3442.4188157821964,-787018.4333582994,0.99985581,0.029335929898046276,0.11119143149818474,0.2768036093095737,1.2561437093384011,fitted,107.90530831121178,-12382.50259540617,-12.598399358380977,0.99989495,0.025039992674789534,0.0941411412464217,0.2306008799517396,1.0490408825794706,fitted,3.914e-05,apelblat
Nylon66,ch2cl2,28,0,25.0,160.0,5.337479421572611,1612.0009646595242,-1085154.0721976035,0.99978489,0.020482105819352576,0.12755613328570217,0.2148731275392883,0.7881980182767769,fitted,131.93053817209278,-10635.380088126374,-17.149507178101995,0.99989132,0.01455866328952406,0.07861822411847551,0.12255540008441805,0.4108100502860772,fitted,0.00010643,apelblat
Nylon66,chcl3,28,0,25.0,160.0,18.181631668203625,-9723.986448790494,1341184.720482249,0.9998841,0.007409083962765076,0.048164194466813394,0.07873366725054999,0.30962777913987694,fitted,-135.71580152080216,5279.605685824018,20.823526700862804,0.99953141,0.014897999177970408,0.09123584618754484,0.1437795908203251,0.5577916461977779,fitted,-0.00035269,mk
Nylon66,cyclohexane,28,0,25.0,160.0,20.340604956616527,-7272.602724588189,-728219.356238704,0.99999942,0.002694536168066804,0.00041951851492809264,0.0013057570831878297,0.0064499471101147066,fitted,104.06807761271791,-15427.711331260567,-11.33062263659129,0.99999682,0.0062928871362288065,0.0008189278377007606,0.002478347471105942,0.012004321939035778,fitted,-2.6e-06,tie
Nylon66,cyclohexanol,28,0,25.0,160.0,19.988742423611626,-7847.337285853229,58799.62510055003,0.999973,0.012125094835301439,0.024933049231331134,0.06459854182305692,0.3013949500384978,fitted,14.119719113584003,-7235.252656697795,0.7854577365683669,0.99997171,0.012411304749526652,0.02464538633743029,0.06315707059111829,0.2948013830243692,fitted,-1.29e-06,tie
Nylon66,dimethylformamide,28,0,25.0,160.0,14.020578729678743,-3395.037254311292,-621908.7917364046,0.99984325,0.026792233863055275,0.10714800530168558,0.25003927103597334,1.1053281679776106,fitted,87.7595141732662,-10475.896187639348,-10.000912254533477,0.99988125,0.02332008910916444,0.09108079066129533,0.21001482800049728,0.9291882665509874,fitted,3.8e-05,apelblat
Nylon66,dimethylsulfoxide,28,0,25.0,160.0,18.269599514018932,-7297.4126970535335,121940.49497809589,0.99997927,0.009346134682306299,0.01731874408209025,0.04194228143278744,0.18950282025458876,fitted,4.9438527755840065,-5967.977185319846,1.7964980943576885,0.99997632,0.009989176637338682,0.01774788473195139,0.04235988426278848,0.1913599745056036,fitted,-2.95e-06,tie
Nylon66,diphenylether,28,0,25.0,160.0,18.231737949466147,-6314.679603796465,-522860.48499621154,0.99999993,0.0007843455042708926,0.0002660535807057367,0.0008005706029544481,0.0038882973483080896,fitted,78.51638421437467,-12178.8018994286,-8.159824735965486,0.9999994,0.002225812436808366,0.0008715158784901995,0.0022311451119615983,0.009941485177528797,fitted,-5.3e-07,tie
Nylon66,dodecane,28,0,25.0,160.0,18.5475957619543,-7028.509882858372,-762383.3869577339,0.9999999,0.0011009188924513912,1.5679229805085053e-05,4.037353157644636e-05,0.0001842071206599183,fitted,106.39740127368863,-15576.322842993804,-11.890401336822872,0.99999871,0.003990208000328023,0.00011574031559763077,0.0003455868929098072,0.001653197592165312,fitted,-1.19e-06,tie
Nylon66,ethanol,28,0,25.0,160.0,18.844972052020292,-6216.32054340644,-235525.31798342045,0.99967467,0.04222748874067604,0.23866530498584287,0.5915719456540279,2.6842814929606256,fitted,49.19467247287422,-9024.073310945232,-4.139359144767893,0.99969497,0.040888504493795,0.22477608149933784,0.5490107386174826,2.4930750364600236,fitted,2.03e-05,apelblat
