Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
Isopropyl-Tert-Butyl-Ether,CC(C)(C)OC(C)C,17348-59-3,5.543,0.9639,0.9246621004453465,low-fidelity RED
1-Methyl-3-Tert-Butylbenzene,CC(C)(C1=CC(C)=CC=C1)C,1075-38-3,6.163,0.9795,0.9810708435174287,low-fidelity RED
Tert-Butylbenzene,CC(C)(C1=CC=CC=C1)C,98-06-6,6.026,0.8824,0.9775607398008574,low-fidelity RED
Sativene,CC(C)[C@@H]1CC[C]2([C@H]3[C@@H]1[C@@H](C2=C)CC3)C,3650-28-0,6.626,1.377,0.9552486587271395,low-fidelity RED
β-Copaene,CC(C)[C@@H]1CC[C]2(C3C1[C@H]2C(=C)CC3)C,18252-44-3,6.398,1.247,0.9552486587271395,low-fidelity RED
"2,5-Dimethyl-Trans-3-Hexene",CC(C)/C=C/C(C)C,692-70-6,5.535,0.8476,0.6149186938124421,low-fidelity RED
2-Methyl-Cis-3-Hexene,CC(C)\C=C/CC,15840-60-5,5.663,1.024,0.7810249675906653,low-fidelity RED
2-Methyl-Trans-3-Hexene,CC(C)\C=C\CC,692-24-0,5.663,1.024,0.7810249675906653,low-fidelity RED
"2,4-Dimethyl-2-Hexene",CC(C)=CC(C)CC,14255-23-3,6.21,0.938,0.6103277807866849,low-fidelity RED
Linalyl Isobutyrate,CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,78-35-3,7.236,1.21,0.9836157786452998,low-fidelity RED
"2,2,4-Trimethyl-1,3-Pentanediol Diisobutyrate",CC(C)C(=O)OCC(C)(C)C(C(C)(C))OC(=O)C(C)(C),6846-50-0,7.098,1.158,0.9542667341996156,low-fidelity RED
"2,2,3,3,4-Pentamethylpentane",CC(C)C(C)(C)C(C)(C)C,16747-44-7,5.553,0.9632,0.25248762345905196,low-fidelity RED
"2,2,4,4,5-Pentamethylhexane",CC(C)C(C)(C)CC(C)(C)C,60302-23-0,5.936,0.9282,0.15411035007422477,low-fidelity RED
"2,3,3-Trimethylhexane",CC(C)C(C)(C)CCC,16747-28-7,5.692,1.053,0.06123724356957931,low-fidelity RED
"2,3-Dimethyl-1-Butene",CC(C)C(C)=C,563-78-0,5.909,0.959,0.6619101147436864,low-fidelity RED
"2,3,4-Trimethylhexane",CC(C)C(C)C(C)CC,921-47-1,5.669,0.8069,0.06123724356957931,low-fidelity RED
"2,3,5-Trimethylhexane",CC(C)C(C)CC(C)C,1069-53-0,5.556,0.6814,0.03535533905932738,low-fidelity RED
"2,3-Dimethylheptane",CC(C)C(C)CCCC,3074-71-3,5.643,0.9123,0.15411035007422388,low-fidelity RED
"2,3-Dimethyloctane",CC(C)C(C)CCCCC,7146-60-3,5.701,0.8958,0.20310096011589918,low-fidelity RED
3-Ethyl-2-Methylheptane,CC(C)C(CC)CCCC,14676-29-0,5.73,0.8729,0.20310096011589918,low-fidelity RED
"2,5-Dimethyl-2-Hexene",CC(C)C\C=C(C)\C,3404-78-2,6.29,0.9131,0.698659430624106,low-fidelity RED
5-Methyl-Trans-2-Hexene,CC(C)C\C=C\C,7385-82-2,5.733,1.03,0.8400148808205721,low-fidelity RED
Delta-Elemene,CC(C)C1=CC(C(CC1)(C)C=C)C(=C)C,20307-84-0,6.601,1.283,0.9293815147720546,low-fidelity RED
Timber Dioxolane,CC(C)C1C(COC(O1)(C)C)(C)C,61920-45-4,5.893,1.137,0.7905694150420949,low-fidelity RED
Isopropylcyclopropane,CC(C)C1CC1,3638-35-5,5.69,0.9218,0.4015594601052247,low-fidelity RED
2-Isopropyl Decalin,CC(C)C1CC2CCCCC2CC1,NotAvailble,5.733,0.9413,0.8507349763586782,low-fidelity RED
β-Bourbonene,CC(C)C1CCC2(C1C3C2CCC3=C)C,5208-59-3,5.811,1.249,0.9552486587271395,low-fidelity RED
Isopropylcyclopentane,CC(C)C1CCCC1,3875-51-2,5.598,0.8605,0.5012484413940855,low-fidelity RED
