Name,solvent_SMILES,CAS,G-score prediction,G-score prediction uncertainty,Relative Energy Difference (RED),Source
"1-Methyl-[1,2,3,4-Tetrahydronaphthalene]",c(ccc1C(C2)C)cc1CC2,1559-81-5,6.784,0.9831,0.6067330549755797,low-fidelity RED
"1-Butyl-[1,2,3,4-Tetrahydronaphthalene]",c(ccc1C(C2)CCCC)cc1CC2,38857-76-0,6.977,1.134,0.5390964663211956,low-fidelity RED
1-Hexylnaphthalene,c(ccc1c(c2)CCCCCC)cc1cc2,2876-53-1,6.78,1.098,0.6562202374203343,low-fidelity RED
1-Nonylnaphthalene,c(ccc1c(c2)CCCCCCCCC)cc1cc2,26438-26-6,6.78,1.098,0.6051859218455097,low-fidelity RED
"1-Decyl-[1,2,3,4-Tetrahydronaphthalene]",c(ccc1C(C2)CCCCCCCCCC)cc1CC2,55255-57-7,6.938,1.089,0.6841966091701996,low-fidelity RED
1-Decylnaphthalene,c(ccc1c(c2)CCCCCCCCCC)cc1cc2,26438-27-7,6.78,1.098,0.6314665470157542,low-fidelity RED
Cis-(1-Butenyl)Benzene,c(ccc1C=C/CC)cc1,1560-09-4,5.878,1.076,0.71632743909472,low-fidelity RED
Trans-(1-Butenyl)Benzene,c(ccc1C=C\CC)cc1,1005-64-7,5.878,1.076,0.71632743909472,low-fidelity RED
1-Phenylindene,c(ccc1C2-c(ccc3)cc3)cc1C=C2,1961-96-2,5.958,1.11,0.7619875327064086,low-fidelity RED
1-Methyl-3-Isobutylbenzene,c(ccc1CC(C)C)c(c1)C,5160-99-6,6.783,1.123,0.7570501964863348,low-fidelity RED
1-Methyl-2-Isobutylbenzene,c(ccc1CC(C)C)cc1C,36301-29-8,6.195,1.072,0.7766112283504522,low-fidelity RED
o-Ethylstyrene,c(ccc1CC)cc1C=C,7564-63-8,6.994,1.161,0.7284401142166724,low-fidelity RED
2-Propylnaphthalene,c(ccc1cc2CCC)cc1cc2,2027-19-2,6.872,1.036,0.755810822891549,low-fidelity RED
2-Butylnaphthalene,c(ccc1cc2CCCC)cc1cc2,1134-62-9,6.941,1.095,0.6896557112066862,low-fidelity RED
